Cycle,Time (real),Time (simulation),Agent,State,Rider,Follower,Leader,Battery Life,Has Target,Last Tag,Next Tag,Read Pheromones,Pheromone To Diffuse,Pheromone Mark
0,2021-08-28 19:49:32,0.0,bike86,idle,nil,nil,nil,98563.7855457519,false,tagRFID(94),tagRFID(93),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike87,idle,nil,nil,nil,87694.02493949345,false,tagRFID(257),tagRFID(226),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike88,idle,nil,nil,nil,82564.88812299607,false,tagRFID(7),tagRFID(8),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike73,idle,nil,nil,nil,90923.34545351833,false,tagRFID(54),tagRFID(55),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike74,idle,nil,nil,nil,99568.71524668454,false,tagRFID(279),tagRFID(278),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike75,idle,nil,nil,nil,80764.47000597257,false,tagRFID(227),tagRFID(259),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike76,idle,nil,nil,nil,86568.54548964534,false,tagRFID(235),tagRFID(158),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike77,idle,nil,nil,nil,77722.5189138512,false,tagRFID(110),tagRFID(111),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike78,idle,nil,nil,nil,75464.02326410447,false,tagRFID(301),tagRFID(300),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike79,idle,nil,nil,nil,87962.22228719345,false,tagRFID(218),tagRFID(72),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike80,idle,nil,nil,nil,99111.86972758069,false,tagRFID(5),tagRFID(6),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike65,idle,nil,nil,nil,83086.67208951285,false,tagRFID(207),tagRFID(208),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike66,idle,nil,nil,nil,88514.719374878,false,tagRFID(195),tagRFID(109),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike67,idle,nil,nil,nil,98286.2620021001,false,tagRFID(8),tagRFID(51),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike68,idle,nil,nil,nil,84308.8427077271,false,tagRFID(129),tagRFID(128),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike69,idle,nil,nil,nil,81043.09012022874,false,tagRFID(281),tagRFID(312),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike70,idle,nil,nil,nil,92694.26706478697,false,tagRFID(253),tagRFID(92),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike71,idle,nil,nil,nil,89852.13708419015,false,tagRFID(77),tagRFID(78),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike72,idle,nil,nil,nil,94199.39495420014,false,tagRFID(251),tagRFID(185),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike57,idle,nil,nil,nil,77514.04296515371,false,tagRFID(238),tagRFID(134),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike58,idle,nil,nil,nil,94217.92401979335,false,tagRFID(98),tagRFID(205),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike59,idle,nil,nil,nil,97933.97990044387,false,tagRFID(44),tagRFID(42),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike60,idle,nil,nil,nil,79851.43756515125,false,tagRFID(231),tagRFID(65),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike61,idle,nil,nil,nil,78634.78585363516,false,tagRFID(128),tagRFID(141),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike62,idle,nil,nil,nil,97038.43713304518,false,tagRFID(111),tagRFID(112),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike63,idle,nil,nil,nil,83683.04516207443,false,tagRFID(214),tagRFID(95),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike64,idle,nil,nil,nil,91420.63702775886,false,tagRFID(218),tagRFID(72),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike113,idle,nil,nil,nil,76053.38178727978,false,tagRFID(179),tagRFID(103),0.0,0.0,0.0
0,2021-08-28 19:49:32,0.0,bike114,idle,nil,nil,nil,90314.36432588418,false,tagRFID(264),tagRFID(31),0.0,0.0,0.0
