tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
1109,2019-10-07 05:39:37.9990,2019-10-07 05:58:07.7030,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,5,Northeastern University - North Parking Lot,42.341814,-71.090179,5737,Subscriber,1995,1,101600,-71.08373574999999,42.369981499999994,395,-71.0873231798449,42.34264918596444,20377.0,21487.0
966,2019-10-07 05:45:36.7260,2019-10-07 06:01:43.5930,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,352,Ring Rd,42.34827838542626,-71.08044855314802,3606,Subscriber,1988,1,20679,-71.07960987811649,42.36928634691886,153276,-71.07922361104728,42.34641293589975,20736.0,21703.0
641,2019-10-07 05:45:47.4970,2019-10-07 05:56:29.4540,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4303,Subscriber,1992,2,259417,-71.07774551969598,42.37039788867502,201825,-71.09352709793748,42.36011991473893,20747.0,21389.0
631,2019-10-07 05:54:07.2460,2019-10-07 06:04:38.3360,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,149,175 N Harvard St,42.363796,-71.129164,3996,Subscriber,1993,1,180589,-71.09424342882824,42.37073266915746,32301,-71.13064780518863,42.361733677062624,21247.0,21878.0
365,2019-10-07 06:04:14.2890,2019-10-07 06:10:19.7090,185,Third at Binney,42.365444861373994,-71.0827714204788,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,5388,Subscriber,1991,1,69940,-71.08361628414815,42.36544746271512,201824,-71.09375344290599,42.360189607699375,21854.0,22219.0
287,2019-10-07 06:09:57.7510,2019-10-07 06:14:45.6840,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3723,Subscriber,1995,2,134366,-71.09140068316115,42.368059894341755,4324,-71.09505493651935,42.35814261819269,22197.0,22485.0
696,2019-10-07 06:13:18.2810,2019-10-07 06:24:54.8000,189,Kendall T,42.362427842912396,-71.08495473861693,179,MIT Vassar St,42.35560121327927,-71.10394477844237,3152,Subscriber,1991,1,69948,-71.08561003055435,42.36408341337258,138672,-71.10479226963955,42.357081177413576,22398.0,23094.0
164,2019-10-07 06:15:04.9260,2019-10-07 06:17:49.6340,117,Binney St / Sixth St,42.36608797388682,-71.08633603909766,398,75 Binney St,42.36550728505653,-71.0801375997653,3631,Subscriber,1974,2,24631,-71.08615428225934,42.36727304587805,257061,-71.08295714653597,42.36406369666873,22504.0,22669.0
328,2019-10-07 06:22:29.9410,2019-10-07 06:27:58.6360,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4184,Subscriber,1984,2,11022,-71.0966550680708,42.374221952841246,120280,-71.09982813461592,42.36617648701806,22949.0,23278.0
754,2019-10-07 06:24:18.4960,2019-10-07 06:36:52.7510,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,53,Beacon St at Massachusetts Ave,42.350826806690954,-71.0898108780384,2919,Customer,1969,0,65853,-71.09838901769356,42.37272535112659,247956,-71.09107818627602,42.34846962928537,23058.0,23812.0
321,2019-10-07 06:28:51.1710,2019-10-07 06:34:12.9730,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,5294,Subscriber,1997,1,181129,-71.09430290106198,42.371855210467636,175734,-71.10506369124177,42.36306047995145,23331.0,23652.0
204,2019-10-07 06:32:47.6430,2019-10-07 06:36:11.9650,177,University Park,42.36264779118595,-71.1000609397888,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,4345,Subscriber,1988,1,119167,-71.10367481152979,42.362947439630695,201801,-71.09356732431517,42.35975810091945,23567.0,23771.0
465,2019-10-07 06:36:30.5630,2019-10-07 06:44:15.8140,189,Kendall T,42.362427842912396,-71.08495473861693,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,4736,Subscriber,1958,1,245877,-71.08795596931938,42.36214775804637,69980,-71.0982544784637,42.359352254929014,23790.0,24255.0
506,2019-10-07 06:39:59.8960,2019-10-07 06:48:26.7610,177,University Park,42.36264779118595,-71.1000609397888,74,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,3422,Subscriber,1989,2,182641,-71.1013205801491,42.3609222732193,183629,-71.12066262136214,42.37496892488833,23999.0,24506.0
139,2019-10-07 06:41:44.7880,2019-10-07 06:44:03.9030,189,Kendall T,42.362427842912396,-71.08495473861693,398,75 Binney St,42.36550728505653,-71.0801375997653,4988,Subscriber,1980,1,203475,-71.08513341325761,42.36435134164994,69894,-71.07950708741129,42.36770790871979,24104.0,24243.0
292,2019-10-07 06:42:21.1810,2019-10-07 06:47:13.5400,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,318,Ames St at Broadway,42.363692900000004,-71.0875672,4856,Customer,1996,2,20599,-71.08553252658719,42.37116119984125,190149,-71.08845472475932,42.365410404608944,24141.0,24433.0
522,2019-10-07 06:42:42.5150,2019-10-07 06:51:25.2050,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,2561,Subscriber,1974,2,137575,-71.07902214530137,42.371968295083676,258228,-71.0909803801635,42.366609795118755,24162.0,24685.0
993,2019-10-07 06:47:30.9220,2019-10-07 07:04:04.0730,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,50,Boylston St at Berkeley St,42.351141982547496,-71.07329249382019,5743,Customer,1995,2,20695,-71.09595575,42.3691264,248294,-71.07355289685432,42.35268876470856,24450.0,25444.0
1109,2019-10-07 06:48:20.7720,2019-10-07 07:06:50.5920,189,Kendall T,42.362427842912396,-71.08495473861693,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2227,Subscriber,1989,2,224974,-71.08321661837479,42.36143689243626,250432,-71.07379138442448,42.34652939675656,24500.0,25610.0
277,2019-10-07 06:56:51.7890,2019-10-07 07:01:28.9320,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,189,Kendall T,42.362427842912396,-71.08495473861693,3989,Subscriber,1996,1,186926,-71.09646960475233,42.3677180072486,4330,-71.08450277694584,42.3605652043375,25011.0,25288.0
401,2019-10-07 06:58:19.1320,2019-10-07 07:05:00.4750,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,189,Kendall T,42.362427842912396,-71.08495473861693,5354,Subscriber,1993,2,11075,-71.09883703582246,42.37323957430385,53996,-71.08392300466373,42.36436944365456,25099.0,25500.0
484,2019-10-07 06:59:53.3320,2019-10-07 07:07:57.8650,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,189,Kendall T,42.362427842912396,-71.08495473861693,4157,Subscriber,1997,1,127368,-71.08954064978161,42.37060297136719,259920,-71.08765373296384,42.363252990551324,25193.0,25677.0
934,2019-10-07 07:03:02.6950,2019-10-07 07:18:37.2630,177,University Park,42.36264779118595,-71.1000609397888,11,Longwood Ave at Binney St,42.338629,-71.1065,6138,Subscriber,1976,1,257893,-71.10020765014514,42.363820821825506,4694,-71.10623760034755,42.33895405871682,25382.0,26317.0
213,2019-10-07 07:03:22.8590,2019-10-07 07:06:56.4450,189,Kendall T,42.362427842912396,-71.08495473861693,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,3989,Subscriber,1992,1,203984,-71.08692827636209,42.36167284544136,260507,-71.0926326445327,42.36549189980513,25402.0,25616.0
275,2019-10-07 07:09:30.0620,2019-10-07 07:14:05.7750,318,Ames St at Broadway,42.363692900000004,-71.0875672,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,3423,Subscriber,1995,1,50515,-71.0872644871986,42.36220002144297,35790,-71.1010234815442,42.36638889995775,25770.0,26045.0
370,2019-10-07 07:11:09.1990,2019-10-07 07:17:19.2080,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,398,75 Binney St,42.36550728505653,-71.0801375997653,4980,Subscriber,1960,1,20679,-71.07960987811649,42.36928634691886,28450,-71.08171963453691,42.36761121883796,25869.0,26239.0
238,2019-10-07 07:11:28.7830,2019-10-07 07:15:27.7730,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,107,Ames St at Main St,42.3625,-71.08821999999999,4264,Subscriber,1966,1,66010,-71.08441040594414,42.368379380108216,259919,-71.08550815795559,42.36192177694763,25888.0,26127.0
817,2019-10-07 07:12:21.2340,2019-10-07 07:25:58.7890,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,374,Subscriber,1996,1,134796,-71.09583781298775,42.36909158148686,102878,-71.07885075000002,42.37175495,25941.0,26758.0
499,2019-10-07 07:13:32.2440,2019-10-07 07:21:51.5380,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,5174,Subscriber,1996,2,257902,-71.07939988901151,42.37118822909389,121774,-71.09853030000001,42.375419050000005,26012.0,26511.0
347,2019-10-07 07:13:43.2150,2019-10-07 07:19:30.9880,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,3347,Subscriber,1993,1,102912,-71.09524492034873,42.37067159238069,4347,-71.0905715334518,42.3616199985925,26023.0,26370.0
467,2019-10-07 07:13:50.0850,2019-10-07 07:21:37.3680,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,398,75 Binney St,42.36550728505653,-71.0801375997653,6106,Subscriber,1995,1,65852,-71.09757066733542,42.37272598301637,28,-71.08140359535427,42.363907056868634,26030.0,26497.0
1649,2019-10-07 07:14:48.7180,2019-10-07 07:42:18.2620,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,70,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,3298,Subscriber,1997,2,183306,-71.0929291920398,42.368023930160206,257062,-71.1197064172382,42.37357916471065,26088.0,27738.0
428,2019-10-07 07:15:12.6260,2019-10-07 07:22:21.1880,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,185,Third at Binney,42.365444861373994,-71.0827714204788,5437,Subscriber,1997,1,124306,-71.0987763359978,42.36640626892558,257133,-71.08514015300209,42.366442263041144,26112.0,26541.0
231,2019-10-07 07:16:12.8500,2019-10-07 07:20:04.6970,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,185,Third at Binney,42.365444861373994,-71.0827714204788,2703,Subscriber,1988,2,20647,-71.08499521505772,42.37012888925323,203468,-71.08062887205456,42.36448040473027,26172.0,26404.0
1653,2019-10-07 07:17:47.9780,2019-10-07 07:45:21.6080,90,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337417484597296,-71.10286116600038,2537,Subscriber,1994,2,11198,-71.07945072160254,42.37180995284772,245914,-71.10563613443325,42.33827925534871,26267.0,27921.0
945,2019-10-07 07:19:28.8190,2019-10-07 07:35:14.6830,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,415,Stuart St at Berkeley St,42.34954403114251,-71.07242073872841,3222,Subscriber,1994,1,155265,-71.09398183330114,42.36766814954961,43532,-71.07061657616798,42.34920121309878,26368.0,27314.0
884,2019-10-07 07:23:51.4910,2019-10-07 07:38:35.6700,189,Kendall T,42.362427842912396,-71.08495473861693,356,Charlestown Navy Yard,42.37412454942653,-71.05481199938367,5354,Subscriber,1994,1,260667,-71.08158049814985,42.36302972003322,260598,-71.05255306997871,42.375628701855675,26631.0,27515.0
375,2019-10-07 07:24:36.3190,2019-10-07 07:30:52.0000,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,185,Third at Binney,42.365444861373994,-71.0827714204788,2557,Subscriber,1991,1,225717,-71.09378565,42.3574682,69940,-71.08361628414815,42.36544746271512,26676.0,27052.0
1191,2019-10-07 07:25:34.8300,2019-10-07 07:45:26.5110,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,374,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,5109,Subscriber,1990,2,20695,-71.09595575,42.3691264,259463,-71.06304869128017,42.354870493906695,26734.0,27926.0
292,2019-10-07 07:25:58.2720,2019-10-07 07:30:50.3800,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,2661,Subscriber,1989,2,20584,-71.09898102109855,42.37142586401066,181658,-71.10573445754228,42.36545099784769,26758.0,27050.0
137,2019-10-07 07:27:13.2170,2019-10-07 07:29:30.7120,185,Third at Binney,42.365444861373994,-71.0827714204788,189,Kendall T,42.362427842912396,-71.08495473861693,4080,Subscriber,1985,2,203475,-71.08513341325761,42.36435134164994,48471,-71.08535149588107,42.363624754018005,26833.0,26970.0
191,2019-10-07 07:28:57.6220,2019-10-07 07:32:08.7200,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,189,Kendall T,42.362427842912396,-71.08495473861693,4898,Subscriber,1992,1,151742,-71.09421456165987,42.366124465806806,203467,-71.08197325000106,42.363453174683514,26937.0,27128.0
282,2019-10-07 07:28:58.6610,2019-10-07 07:33:40.7220,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4345,Subscriber,1988,1,124538,-71.09508724967903,42.356920366448264,85377,-71.10185356833415,42.367253902583585,26938.0,27220.0
1703,2019-10-07 07:30:59.6350,2019-10-07 07:59:22.8320,177,University Park,42.36264779118595,-71.1000609397888,124,Curtis Hall - South St at Centre St,42.309053999999996,-71.11543,4072,Subscriber,1991,2,122880,-71.1034224,42.3630754,85090,-71.11264857362026,42.308060041704415,27059.0,28762.0
279,2019-10-07 07:31:42.1100,2019-10-07 07:36:22.0730,318,Ames St at Broadway,42.363692900000004,-71.0875672,398,75 Binney St,42.36550728505653,-71.0801375997653,4856,Subscriber,1965,1,246685,-71.09053915322882,42.36343099754456,182727,-71.0797111331184,42.368055121485035,27102.0,27382.0
297,2019-10-07 07:32:51.0020,2019-10-07 07:37:48.6960,177,University Park,42.36264779118595,-71.1000609397888,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,841,Subscriber,1987,2,100270,-71.09767761326923,42.36366417458246,181714,-71.10747211345671,42.35723256934824,27171.0,27468.0
649,2019-10-07 07:33:16.4080,2019-10-07 07:44:06.1610,177,University Park,42.36264779118595,-71.1000609397888,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,2591,Subscriber,1994,1,69959,-71.09911884805324,42.36294015903618,187496,-71.0765896203128,42.346076533716975,27196.0,27846.0
876,2019-10-07 07:34:33.4260,2019-10-07 07:49:09.8040,335,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,372,Boylston St at Exeter St,42.34958942368245,-71.07946779173291,5414,Subscriber,1974,1,100639,-71.0984709214481,42.36626424767477,248281,-71.07699548854254,42.35081261360546,27273.0,28149.0
442,2019-10-07 07:35:35.2070,2019-10-07 07:42:57.2490,189,Kendall T,42.362427842912396,-71.08495473861693,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4898,Subscriber,1979,1,259919,-71.08550815795559,42.36192177694763,161613,-71.1014656352781,42.36276354167923,27335.0,27777.0
226,2019-10-07 07:36:06.6480,2019-10-07 07:39:52.7370,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,189,Kendall T,42.362427842912396,-71.08495473861693,3989,Subscriber,1983,2,45039,-71.09234564714119,42.36744646122364,203467,-71.08197325000106,42.363453174683514,27366.0,27592.0
437,2019-10-07 07:36:08.6300,2019-10-07 07:43:26.3840,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,72,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,2093,Subscriber,1985,2,153710,-71.07842262756479,42.36558551029949,224974,-71.08321661837479,42.36143689243626,27368.0,27806.0
957,2019-10-07 07:37:25.8580,2019-10-07 07:53:23.7110,185,Third at Binney,42.365444861373994,-71.0827714204788,227,Silber Way,42.349495995140025,-71.10057592391969,5941,Subscriber,1960,1,257515,-71.08088379744945,42.36514464520204,1405,-71.10084502494465,42.35057144714545,27445.0,28403.0
273,2019-10-07 07:37:46.1920,2019-10-07 07:42:19.6160,91,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,5605,Subscriber,1961,2,20723,-71.09145484177327,42.3685288945393,128154,-71.09818713218411,42.37266896145197,27466.0,27739.0
259,2019-10-07 07:37:47.3280,2019-10-07 07:42:07.2320,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191316,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4171,Subscriber,1996,1,99915,-71.09563046693026,42.37047370020997,119167,-71.10367481152979,42.362947439630695,27467.0,27727.0
